Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1268,1065,1510,,,,,,,1823,1528,2175,,,,1268,1065,1510
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1597,1358,1878,,,,,,,,,,,,,,,
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1267,960,1673,,,,,,,,,,2032,1322,3123,1267,960,1673
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1275,1097,1483,,,,,,,,,,,,,1275,1097,1483
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3691,2598,5244,,,,,,,,,,2895,2186,3835,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,3638,2580,5132,,,
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,3495,2650,4609,,,,1864,1681,2065,,,
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",1199,1013,1418,,,,,,,,,,,,,1199,1013,1418
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,5951,4775,7416,,,,2516,2105,3007,,,
05/09/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4182,2794,6261,,,,,,,,,,,,,,,
05/10/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3847,2546,5812,,,,,,,,,,,,,,,
05/11/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4419,3356,5819,,,,,,,,,,3857,2924,5088,,,
05/12/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2904,2009,4197,,,,,,,,,,,,,,,
05/13/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/14/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4494,2853,7077,,,,,,,,,,,,,,,
05/15/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/16/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3315,2549,4311,2680,2276,3154,,,
05/17/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3273,2508,4270,,,,,,,,,,,,,,,
05/18/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3252,2488,4252,,,,,,,,,,,,,,,
05/19/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,2931,2400,3578,1896,1548,2322,,,
05/20/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2043,1614,2587,,,,,,,,,,,,,,,
05/21/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2627,2358,2927,,,,,,,,,,,,,1348,1068,1702
05/22/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/23/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3074,2750,3435,,,,,,
05/24/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3706,3026,4538,,,,,,,3834,3050,4820,,,,,,
05/25/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3087,2499,3812,,,,,,,3053,2667,3494,3018,2360,3858,,,
05/26/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2744,2015,3738,,,,,,,,,,,,,,,
05/27/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2022,1521,2687,,,,,,,,,,,,,,,
05/28/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,2986,2299,3876,,,,,,
05/29/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4547,3469,5959,,,,5553,4418,6980,,,,,,,,,
05/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
05/31/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4161,3235,5352,,,,4998,4311,5795,,,,,,,,,
06/01/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3904,2935,5192,,,,,,,,,,,,,1529,1304,1793
06/02/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,1974,1508,2584,,,
06/03/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2014,1419,2858,,,,,,,,,,,,,,,
06/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2543,2047,3159,,,,,,,,,,2331,1884,2884,,,
06/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",5408,3376,8663,,,,,,,,,,,,,,,
06/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3393,2418,4763,,,,,,,,,,2612,2012,3391,,,
06/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4231,2694,6644,,,,,,,,,,,,,,,
06/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",2364,1721,3247,,,,,,,,,,,,,,,
06/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3187,2194,4631,,,,,,,,,,,,,,,
06/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",5241,3821,7187,,,,,,,5331,3903,7281,,,,,,
06/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4382,2980,6443,,,,,,,3339,2740,4068,4737,3274,6855,,,
06/15/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",4136,2588,6609,,,,,,,,,,2694,2136,3396,,,
06/16/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3427,2739,4288,,,,,,,,,,,,,1511,1351,1690
06/17/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/18/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3352,2672,4206,,,,,,
06/19/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",5490,3687,8175,,,,,,,5292,3503,7995,,,,,,
06/20/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3477,2694,4487,,,,,,,,,,,,,,,
06/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3833,3197,4595,,,,,,
06/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
06/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",3478,2981,4059,,,,,,,,,,,,,,,
06/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,3988,3034,5241,,,,,,
06/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"New Manila, Quezon City, Metro Manila",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
