Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,1006,760,1331,709,513,979,777,589,1024,,,
06/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",891,611,1300,,,,784,586,1049,617,544,699,1050,701,1573,,,
06/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",595,534,664,,,,1059,733,1529,775,562,1069,1196,797,1793,595,534,664
06/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",796,625,1013,,,,851,649,1116,682,565,822,815,649,1024,581,524,643
06/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",704,511,969,,,,901,696,1165,652,591,720,900,664,1219,726,530,994
06/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",882,603,1290,,,,983,631,1531,917,605,1389,734,602,896,,,
06/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",702,537,919,,,,644,556,745,703,555,892,768,647,912,702,537,919
06/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",638,526,773,,,,612,563,666,680,565,817,590,471,738,,,
06/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",878,629,1227,,,,955,689,1323,681,547,848,931,662,1311,,,
06/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",983,704,1370,,,,706,589,847,892,585,1359,1070,821,1395,584,527,647
06/14/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,,,,1691,1154,2477,862,561,1324,1280,949,1725,,,
06/15/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",683,537,868,,,,1784,1578,2017,833,588,1180,1021,753,1384,654,518,826
06/16/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",882,620,1255,,,,1057,636,1756,704,619,800,765,663,882,677,580,791
06/17/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",731,567,942,,,,726,531,991,723,543,962,763,624,932,758,586,980
06/18/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",,,,1332,945,1876,1049,700,1571,676,594,770,984,765,1267,,,
06/19/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",657,527,819,,,,990,686,1430,615,545,693,861,682,1088,640,510,802
06/20/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",645,523,795,,,,1318,772,2247,781,631,967,1030,765,1387,645,523,795
06/21/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",561,519,608,,,,1106,816,1499,727,595,887,1321,875,1996,561,519,608
06/22/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1154,748,1778,,,,1200,709,2030,632,539,740,1296,959,1751,674,508,895
06/23/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",673,524,865,,,,1005,689,1466,867,701,1074,766,661,888,677,520,881
06/24/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",715,513,996,,,,659,598,726,751,593,951,852,630,1152,715,513,996
06/25/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",712,492,1031,,,,618,344,1109,656,570,754,871,674,1126,711,505,1000
06/26/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",691,501,953,,,,824,648,1048,718,578,891,1070,712,1608,691,501,953
06/27/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",638,493,826,,,,1034,713,1498,632,561,713,981,701,1372,643,491,842
06/28/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",583,420,809,,,,1208,770,1894,818,637,1050,1006,713,1421,583,420,809
06/29/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Amsterdam, Manila, Metro Manila",1373,824,2288,,,,1875,1030,3414,714,557,915,1486,1015,2178,624,545,715
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
