Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",375,256,550,424,340,528,513,396,666,528,356,781,514,348,760,367,281,480
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",667,431,1033,1177,1005,1379,562,398,795,664,437,1010,546,375,796,486,312,759
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",952,635,1427,867,694,1083,1041,761,1425,959,689,1336,779,458,1324,534,328,871
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1116,727,1715,1065,729,1554,1092,805,1481,1254,813,1934,922,575,1477,541,360,813
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",573,349,940,1160,863,1559,1042,678,1602,999,712,1400,489,344,695,507,327,787
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1395,832,2339,1171,940,1458,2407,1768,3277,1326,955,1841,1061,579,1943,474,312,719
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",674,464,979,464,397,542,735,525,1031,741,532,1032,509,354,730,450,303,669
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",459,284,740,504,362,702,576,484,685,586,394,870,658,430,1008,461,280,760
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",897,521,1543,,,,1269,882,1824,688,434,1088,685,400,1173,717,468,1098
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",846,548,1307,1129,944,1352,849,616,1169,787,507,1220,858,518,1420,452,320,637
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1094,696,1720,,,,1614,1144,2276,870,597,1267,984,630,1536,575,396,836
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",851,523,1387,1225,929,1616,1050,614,1795,838,561,1251,613,391,960,405,315,521
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",554,341,900,931,684,1267,1551,1122,2144,961,665,1387,758,458,1254,471,317,699
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",608,418,882,517,376,711,606,400,916,683,495,942,507,355,724,343,225,524
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",456,318,653,379,323,446,698,435,1122,563,409,774,679,457,1007,463,311,688
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",440,332,583,1103,843,1444,654,433,987,592,385,909,638,417,976,427,327,557
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",507,286,899,993,666,1479,786,515,1199,891,646,1228,505,377,676,430,261,708
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",909,597,1386,,,,1167,920,1480,831,616,1120,725,442,1191,543,321,917
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",560,364,863,1082,933,1255,1089,716,1656,884,626,1249,593,406,867,423,328,545
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",1144,657,1990,1221,768,1944,1860,1419,2438,902,586,1390,1032,573,1860,645,353,1180
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",418,315,553,,,,583,433,784,826,628,1086,595,419,846,396,310,504
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",554,408,752,453,343,599,530,395,712,585,464,738,569,384,842,358,262,490
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",630,444,894,995,715,1385,619,402,955,638,461,881,523,385,710,555,410,751
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",519,342,786,,,,1394,1003,1937,820,594,1132,1159,641,2098,481,327,708
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",847,569,1261,1041,815,1331,1108,797,1542,824,616,1103,532,365,775,453,305,674
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",985,633,1533,1083,818,1433,1229,846,1784,944,657,1357,752,469,1206,431,308,601
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",623,435,891,,,,1321,897,1946,807,525,1242,808,478,1364,615,408,926
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",705,476,1046,,,,784,545,1127,728,522,1015,628,420,940,443,312,629
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Palm Drive, Palm Dr, Makati, Metro Manila",572,393,833,,,,507,385,668,639,454,897,659,399,1088,358,298,431
