Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",259,148,452,209,133,329,299,165,543,209,131,334,288,159,521,222,137,360
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",352,164,754,239,125,455,404,182,897,209,128,341,436,190,1001,204,135,307
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",277,154,496,287,141,585,309,169,564,226,137,371,292,163,523,240,150,383
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",238,154,368,251,136,461,371,194,712,201,129,314,320,179,573,237,155,363
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",261,150,454,198,122,320,309,162,588,227,134,387,253,160,399,245,148,405
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",238,152,373,199,136,291,265,162,434,214,138,331,260,164,411,242,153,381
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",246,150,402,204,113,369,366,172,781,226,133,383,289,162,515,239,148,386
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",220,148,328,174,116,262,267,146,486,210,128,346,373,178,782,223,150,331
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",207,142,301,191,119,307,385,187,795,224,134,372,469,207,1063,207,144,300
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",289,153,546,312,160,610,325,162,648,228,132,391,313,166,593,209,142,308
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",230,151,352,261,137,500,373,189,736,238,143,398,308,168,563,233,152,355
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",240,150,386,197,122,317,283,160,500,295,154,562,253,158,404,243,152,389
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",241,148,392,211,150,296,206,133,317,249,149,414,259,159,420,213,156,290
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",228,144,361,162,113,233,220,147,327,230,138,383,237,153,368,192,138,269
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",316,162,618,307,158,597,325,170,619,212,135,333,398,185,856,224,149,335
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",329,161,672,211,131,341,237,135,416,221,133,367,447,200,999,223,144,343
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",220,141,345,337,149,762,579,228,1471,232,134,401,620,268,1433,211,139,321
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",231,140,382,308,138,686,656,250,1718,297,144,609,459,213,989,227,139,370
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",256,151,432,297,158,560,336,180,626,258,169,393,279,170,455,253,151,424
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",209,143,306,194,129,291,239,148,387,235,137,402,279,166,467,210,144,307
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",322,165,627,172,115,258,498,202,1231,206,134,316,335,183,611,209,143,306
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",324,168,625,198,122,319,354,181,691,221,131,370,389,202,750,226,150,339
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",399,182,875,387,156,956,520,207,1305,242,134,437,458,218,961,245,155,389
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",387,188,796,208,136,319,427,228,800,225,134,377,494,233,1048,224,148,338
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",239,156,365,346,155,773,421,190,933,224,132,381,387,189,791,238,158,359
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Balagbag, Manila, Metro Manila",318,179,567,402,186,865,376,200,705,328,190,564,259,156,429,224,150,335
