Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3550,2350,5361,,,,,,,3616,2659,4916,2301,1450,3651,2152,1471,3150
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1928,1365,2723,,,,,,,3850,2938,5046,,,,,,
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,6890,5707,8317,3276,2746,3908,3476,2541,4754,,,
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2258,1758,2899,,,,2558,2180,3001,,,,,,,,,
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1716,1454,2026,,,,,,,1616,1441,1813,,,,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3223,2490,4173,,,,,,,,,,,,,,,
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3478,2914,4151,2772,2027,3790,,,
05/09/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3983,2827,5610,,,,5790,4624,7252,3159,2548,3917,3516,2594,4766,,,
05/10/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3373,2389,4761,,,,,,,,,,2531,2096,3058,,,
05/11/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,3182,2617,3869,,,
05/12/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2874,2084,3965,,,,3281,2815,3823,3244,2345,4487,2178,1639,2894,,,
05/13/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,2352,1825,3031,,,
05/14/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,3142,2026,4873,2740,1819,4127,,,
05/15/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,2298,1764,2992,3776,2607,5469,,,
