Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/29/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",211,126,352,236,142,392,196,128,301,198,135,290,167,127,221,217,127,371
04/30/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",188,129,273,155,124,194,195,131,290,183,128,262,193,131,287,182,112,295
05/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",213,130,350,344,305,387,271,164,448,285,194,417,252,163,389,192,121,304
05/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",283,165,482,333,258,429,480,291,791,579,360,932,265,172,407,270,154,473
05/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",389,230,656,293,169,507,451,291,699,427,238,766,287,183,452,214,136,335
05/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",223,140,356,425,277,651,991,555,1769,639,340,1203,457,251,831,210,135,326
05/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",255,163,399,246,180,337,567,336,957,556,329,938,209,160,274,257,160,414
05/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",253,134,476,164,126,215,222,163,303,253,179,356,312,164,593,236,130,428
05/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",242,146,400,341,257,452,269,163,443,287,183,449,224,150,335,230,137,386
05/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",223,142,352,441,264,737,257,189,350,563,376,842,397,190,830,208,133,323
05/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",413,224,761,331,244,448,306,197,477,481,312,740,256,160,408,429,223,825
05/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",287,181,455,359,278,464,264,185,378,330,196,555,215,163,285,206,123,344
