Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/04/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1465,1013,2118,,,,2222,1662,2969,1226,914,1643,,,,1188,779,1812
06/05/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1439,966,2142,1529,1287,1818,2659,2099,3369,1463,955,2241,2640,1640,4252,1439,966,2142
06/06/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2448,1617,3704,,,,3787,2545,5635,1975,1520,2568,2309,1468,3633,1165,816,1662
06/07/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,2223,1526,3238,1258,940,1684,,,,,,
06/08/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2469,1597,3817,,,,3197,2136,4784,1847,1371,2489,2516,1689,3747,1161,759,1774
06/09/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,1493,1136,1962,1270,1108,1455,1009,729,1396,,,
06/10/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1254,896,1756,,,,1382,991,1926,1330,1005,1761,1000,738,1355,,,
06/11/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",1063,791,1428,,,,,,,1013,741,1386,1057,798,1400,,,
06/12/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,2272,1545,3340,1477,1135,1922,2427,1626,3622,,,
06/13/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",,,,,,,2256,1505,3383,1852,1311,2618,2974,1548,5715,,,
06/14/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Market Market, Taguig, Metro Manila",2629,1728,4000,,,,3571,2380,5357,1845,1462,2327,2681,1895,3793,,,
