Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/18/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2071,1348,3182,,,,2830,2251,3558,1783,1431,2222,1508,937,2426,828,624,1099
05/19/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",803,626,1030,,,,1194,849,1679,1296,1000,1681,889,696,1135,821,638,1057
05/20/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",573,496,661,,,,978,782,1222,915,705,1188,968,766,1224,582,500,679
05/21/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",628,489,807,,,,2150,1459,3167,1120,828,1514,1188,800,1763,569,503,643
05/22/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1640,1049,2562,,,,1970,1438,2698,1829,1363,2453,1030,683,1553,833,590,1176
05/23/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1968,1276,3035,,,,2729,2346,3174,1823,1347,2468,1605,1002,2571,882,600,1296
05/24/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1768,1162,2689,1886,1598,2225,2355,1834,3025,1834,1329,2530,1316,862,2008,784,610,1007
05/25/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",860,640,1156,,,,3227,2571,4050,1626,1229,2153,2021,1337,3057,755,624,914
05/26/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",753,592,957,1357,997,1846,1244,995,1556,1286,1039,1593,951,715,1265,753,592,957
05/27/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1045,759,1438,,,,965,868,1073,1130,770,1657,1004,728,1384,600,341,1055
05/28/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1432,908,2260,,,,1727,1345,2218,1184,856,1638,1422,785,2579,818,592,1130
05/29/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2256,1420,3583,,,,3299,2269,4798,1665,1163,2385,1928,1303,2851,869,609,1241
05/30/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",853,588,1239,,,,2345,1864,2951,1603,1297,1983,1233,808,1881,793,569,1106
05/31/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1840,1188,2848,,,,2250,1828,2768,1811,1218,2691,1569,964,2553,835,591,1180
06/01/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",858,603,1220,,,,2636,1899,3658,1435,1070,1923,1679,1057,2667,817,573,1165
06/02/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",748,582,959,,,,1455,1102,1920,1173,897,1535,1029,707,1498,757,585,980
06/03/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",653,584,729,,,,881,743,1044,1019,734,1415,938,684,1287,653,584,729
06/04/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",819,524,1281,1957,1249,3067,1397,998,1955,1174,841,1640,987,709,1376,819,524,1281
06/05/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2247,1406,3593,,,,3217,2390,4332,1693,1355,2115,1642,946,2849,,,
06/06/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",2556,1532,4266,,,,3546,2772,4537,2167,1489,3153,1729,953,3136,892,606,1313
06/07/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1815,1177,2800,,,,2421,1841,3185,1823,1442,2305,1252,831,1886,744,512,1081
06/08/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",756,594,962,,,,4361,3438,5532,2178,1619,2930,1705,1019,2854,732,582,919
06/09/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",1048,786,1397,,,,994,760,1301,1172,921,1493,835,649,1075,787,614,1009
06/10/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",943,663,1342,,,,,,,1029,713,1486,772,606,983,700,608,806
06/11/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",835,631,1104,,,,975,738,1289,769,621,952,871,638,1188,608,553,668
06/12/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",527,451,614,,,,2736,1968,3805,1727,1307,2282,1705,1070,2718,527,451,614
06/13/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",892,657,1213,,,,4775,3513,6490,2130,1571,2886,2368,1308,4288,831,638,1083
