Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,2621,1864,3686,1510,1130,2017,1462,1026,2084,,,
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1224,893,1676,,,,1443,1170,1779,1152,885,1499,,,,635,540,746
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,1024,780,1344,929,708,1218,,,
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,,,,962,780,1185,,,
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2140,1411,3246,,,,2937,2199,3923,1629,1334,1990,,,,,,
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3377,2615,4362,1630,1252,2121,1912,1102,3316,,,
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1803,1262,2576,,,,2227,1756,2824,1727,1332,2238,1307,885,1930,,,
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2277,1365,3799,,,,3503,2822,4348,2124,1449,3113,1602,964,2659,,,
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,1393,926,2096,1281,885,1853,1020,767,1356,,,
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1092,774,1539,,,,,,,1086,782,1510,,,,,,
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,813,711,928,998,695,1432,,,
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",1882,1265,2801,,,,2338,1658,3295,1581,1209,2066,1563,1037,2355,,,
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",706,624,798,,,,4547,3108,6652,1888,1386,2572,2265,1288,3985,706,624,798
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2406,1376,4208,,,,4895,4018,5964,1898,1271,2832,2047,1203,3482,,,
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3907,3469,4400,2577,1971,3370,2101,1152,3830,,,
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",647,579,723,,,,1565,1206,2031,1567,1080,2275,1158,843,1589,647,579,723
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,,,,1046,741,1478,930,644,1341,,,
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2330,1315,4130,,,,3298,2025,5371,1323,993,1761,2047,1193,3511,868,589,1281
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2294,1365,3853,,,,3971,2921,5400,1803,1359,2391,1824,1106,3007,,,
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",,,,,,,3582,2604,4928,2172,1533,3078,2470,1098,5555,,,
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",2367,1503,3727,,,,2876,2257,3666,2367,1567,3575,2075,1200,3587,,,
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"2100 Carmel, Makati, Metro Manila",738,501,1086,,,,4329,3509,5340,1706,1237,2353,2068,1222,3497,,,
