Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,1221,899,1657,1026,868,1211,,,
04/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1038,782,1377,,,,1002,875,1148,,,,,,,711,595,849
04/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",993,851,1158,,,,,,,,,,,,,,,
05/01/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,1662,1264,2186,1636,1267,2114,,,
05/02/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",2112,1464,3048,,,,2444,2053,2908,2202,1636,2964,1424,964,2103,,,
05/03/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",2297,1664,3172,,,,2464,1949,3113,2418,1666,3508,1871,1334,2622,,,
05/04/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,3109,2396,4035,2265,1632,3144,2174,1594,2965,,,
05/05/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1435,1036,1989,,,,1690,1088,2623,1412,1135,1758,1145,943,1389,1236,754,2025
05/06/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",704,608,815,,,,,,,,,,1144,879,1488,,,
05/07/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,,,,,,
05/08/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1750,1236,2477,,,,,,,1694,1256,2283,1404,1039,1898,,,
05/09/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1987,1433,2755,,,,2392,1916,2985,1785,1436,2219,,,,,,
05/10/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,2116,1734,2581,1810,1283,2553,1548,1041,2301,,,
05/11/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",2502,1882,3326,,,,,,,2376,1827,3089,,,,,,
05/12/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1329,1007,1753,,,,,,,1336,999,1787,1198,940,1527,864,670,1114
05/13/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,,,,,,,942,718,1235,,,
05/14/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1914,1396,2623,,,,,,,,,,,,,,,
05/15/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1780,1299,2439,,,,1912,1580,2314,1596,1242,2051,1809,1241,2636,,,
05/16/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",1944,1284,2945,,,,2691,1913,3785,1885,1333,2664,1562,1019,2393,921,697,1216
05/17/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Circuit Lane, Makati, Metro Manila",,,,,,,2026,1570,2615,,,,,,,,,
