Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1288,719,2309,1333,935,1900,1909,1246,2925,1640,1251,2150,825,477,1428,655,454,944
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",486,361,654,472,391,569,988,776,1259,696,506,956,677,484,947,493,362,673
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1094,692,1730,,,,1504,1172,1930,1220,855,1739,703,491,1007,518,369,728
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1334,802,2218,1265,1050,1525,1815,1259,2615,1402,988,1988,939,530,1664,647,424,986
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",731,451,1187,1363,1052,1766,1417,1055,1903,1293,926,1804,863,531,1401,704,431,1151
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1289,840,1977,,,,1417,1028,1954,1362,990,1876,777,460,1311,522,358,762
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1295,848,1978,964,632,1471,1563,1244,1963,1495,1099,2033,928,601,1434,622,417,928
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",623,402,964,908,734,1122,1274,807,2011,1442,1041,1998,712,469,1078,627,398,988
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",664,458,963,499,372,667,792,622,1008,646,460,906,639,411,992,466,352,617
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1137,748,1728,,,,1419,1024,1967,1163,837,1615,867,537,1400,508,356,724
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1096,672,1785,1186,956,1471,1173,981,1403,1302,957,1773,575,375,883,672,444,1018
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1289,780,2131,1670,1159,2405,1467,1055,2040,1411,975,2043,899,509,1587,743,491,1124
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",633,396,1011,,,,1409,1058,1877,1277,947,1721,714,456,1116,599,389,925
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1585,1059,2371,1489,1106,2003,1749,1152,2656,1562,1016,2401,1513,1070,2140,559,383,815
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1132,748,1711,566,492,651,987,788,1236,1339,1068,1679,966,587,1589,596,402,884
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",620,394,977,,,,723,487,1075,917,644,1305,691,448,1068,645,405,1028
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",732,457,1172,,,,1629,1079,2459,1205,846,1716,985,649,1495,635,429,941
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1355,903,2034,1082,787,1488,1470,1018,2123,1385,975,1967,1310,804,2132,572,384,851
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","4300 Dayap St, Makati, Metro Manila",1345,931,1944,,,,1576,1331,1867,1433,1107,1855,855,577,1267,580,375,898
