Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/27/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",504,298,853,,,,556,358,862,457,285,733,531,317,891,551,363,836
04/28/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",479,453,507,,,,853,555,1311,499,296,840,570,409,795,479,453,507
04/29/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",469,303,725,,,,420,241,733,417,258,673,554,462,664,466,319,680
04/30/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",538,374,774,,,,539,385,754,,,,488,350,680,,,
05/01/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1042,511,2122,,,,1044,410,2659,1051,554,1993,1076,557,2076,437,189,1012
05/02/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",940,546,1619,684,371,1260,1594,890,2853,832,526,1317,882,552,1407,585,383,894
05/03/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",697,394,1230,,,,757,541,1057,531,353,796,809,397,1645,425,254,712
05/04/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",389,289,523,747,398,1402,815,692,960,1317,675,2570,621,391,985,389,289,523
05/05/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",468,304,719,,,,,,,695,421,1149,757,493,1162,471,300,740
05/06/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",544,318,931,,,,,,,482,308,752,784,526,1167,411,348,486
05/07/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",772,508,1171,873,639,1194,921,601,1411,748,492,1137,659,444,977,472,336,663
05/08/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",497,435,567,524,359,764,,,,620,377,1021,899,406,1991,480,424,543
05/09/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",745,429,1291,,,,774,390,1538,894,496,1608,629,388,1019,600,427,842
05/10/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",490,422,569,,,,1566,873,2807,1173,585,2352,924,507,1682,475,420,538
05/11/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",,,,589,377,918,874,669,1142,1176,499,2772,715,417,1223,,,
05/12/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",831,460,1503,,,,582,366,924,1811,804,4075,599,450,797,,,
05/13/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",655,459,934,,,,,,,637,508,798,684,447,1045,438,310,618
05/14/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",484,426,550,,,,,,,799,609,1049,725,450,1167,484,426,550
05/15/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1029,569,1861,,,,707,344,1455,1187,743,1897,905,543,1510,,,
