Date,Day,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
04/30/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",710,493,1022,,,,,,,777,566,1066,741,508,1080,443,356,552
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",976,554,1719,,,,2599,2089,3233,1732,1185,2531,1128,543,2341,976,554,1719
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",714,425,1202,,,,2974,2370,3731,2104,1573,2814,2289,1848,2835,714,425,1202
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2088,1297,3362,,,,3038,2174,4245,1813,1309,2512,1562,935,2609,820,442,1520
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",698,431,1130,,,,,,,1813,1350,2435,1783,1197,2657,698,431,1130
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",946,647,1383,,,,935,690,1267,1164,867,1563,645,469,887,652,414,1026
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",547,409,731,,,,,,,863,612,1215,774,564,1063,513,398,661
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1089,599,1980,,,,1334,1044,1704,1304,954,1781,977,590,1616,1089,599,1980
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1508,892,2547,,,,,,,1776,1460,2160,988,625,1562,574,403,818
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2053,1322,3188,,,,2605,1868,3632,2002,1556,2575,1806,1058,3081,,,
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1601,999,2565,,,,2066,1607,2655,1601,1311,1956,1280,697,2350,589,422,822
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1118,553,2258,,,,,,,2176,1724,2747,1371,905,2077,851,479,1512
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",653,452,944,,,,1492,1264,1761,1549,1176,2042,874,607,1258,653,452,944
05/13/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",847,599,1198,,,,975,796,1194,699,559,872,909,585,1412,,,
05/14/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1496,792,2827,,,,3009,2512,3603,1198,776,1850,1099,580,2083,604,403,903
05/15/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",696,436,1110,,,,3453,1882,6335,1025,688,1527,1307,743,2301,696,436,1110
05/16/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1643,948,2847,,,,,,,1395,898,2166,1943,931,4056,682,439,1060
05/17/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,2705,2161,3384,1412,1073,1857,1344,757,2388,,,
05/18/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1626,992,2667,,,,,,,2010,1645,2457,1260,799,1986,796,509,1246
05/19/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",914,595,1403,,,,904,622,1315,1011,721,1416,763,489,1189,645,492,844
05/20/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",449,371,544,,,,,,,876,620,1239,971,691,1366,449,371,544
05/21/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",724,465,1127,,,,,,,766,570,1029,1367,690,2706,724,465,1127
05/22/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1328,753,2343,,,,1944,1559,2424,1718,1324,2229,942,562,1579,618,461,828
05/23/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",835,506,1377,,,,2138,1858,2460,1500,1141,1972,1399,756,2589,780,476,1279
05/24/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",735,478,1127,1913,1486,2463,2807,2344,3362,1672,1294,2160,1537,958,2465,665,461,959
05/25/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2001,1298,3084,,,,,,,1910,1402,2602,1785,1140,2795,640,392,1043
05/26/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,1626,1149,2299,1119,804,1556,811,544,1210,,,
05/27/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",837,651,1078,,,,841,701,1010,794,659,957,828,616,1115,552,399,762
05/28/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",647,424,987,,,,1431,1179,1737,1003,709,1420,716,500,1025,647,424,987
05/29/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,2802,2111,3720,1593,1310,1938,1884,1247,2845,,,
05/30/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1547,854,2803,,,,2408,1160,4998,1541,1233,1926,1089,598,1981,633,422,951
05/31/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1538,870,2720,,,,2651,1988,3535,1445,924,2259,963,604,1534,807,526,1236
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1765,1153,2701,,,,,,,1500,949,2370,1691,1273,2246,679,423,1091
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",803,477,1351,991,744,1320,1441,1172,1771,1151,869,1525,626,455,861,803,477,1351
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",564,393,809,,,,751,616,914,982,686,1406,653,496,860,,,
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",897,577,1394,,,,1119,711,1761,967,638,1466,821,516,1306,830,555,1240
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",604,426,856,,,,2739,2062,3637,2093,1587,2761,1792,1050,3056,604,426,856
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",533,425,668,,,,4592,3205,6579,2195,1722,2799,1401,718,2733,533,425,668
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",789,501,1241,,,,2765,1885,4056,1804,1560,2087,981,619,1555,648,442,950
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2560,1737,3774,2183,1772,2691,3608,2471,5267,2152,1687,2746,2097,1426,3084,724,506,1036
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",674,489,927,,,,1074,731,1577,1189,890,1588,644,495,838,703,522,947
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,,,,877,631,1219,570,490,663,,,
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,819,590,1138,585,455,752,628,484,814,,,
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1907,1102,3301,,,,3563,2430,5223,1535,1005,2344,1699,963,2997,728,491,1080
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2521,1483,4287,,,,4417,2985,6535,2054,1401,3012,2429,1359,4342,774,478,1254
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2420,1203,4866,1834,1488,2259,4835,3611,6473,2194,1294,3718,1927,889,4175,766,551,1064
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2925,1784,4795,2545,2100,3084,4695,4001,5509,2738,2003,3743,2293,1148,4580,568,405,797
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1486,875,2522,,,,1978,1563,2503,1791,1291,2484,753,559,1014,,,
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",931,638,1357,,,,936,685,1280,955,639,1428,920,622,1360,590,429,809
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",,,,,,,3345,1988,5628,1430,937,2181,1884,739,4799,,,
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",677,471,972,2369,1894,2963,5406,3641,8026,2489,1892,3276,1552,805,2992,677,471,972
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",830,541,1273,2777,2360,3268,4088,3254,5135,2183,1499,3179,3041,1746,5295,830,541,1273
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2038,998,4161,,,,4057,2670,6164,1879,1151,3068,1522,715,3242,969,482,1949
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",647,430,973,,,,4845,3595,6530,2204,1325,3666,1480,978,2240,647,430,973
06/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",951,480,1884,,,,1364,808,2302,1707,1044,2788,634,488,823,961,475,1942
06/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",854,538,1354,784,549,1118,1126,679,1869,711,518,974,857,501,1466,683,415,1124
06/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",549,389,773,,,,770,554,1070,791,519,1205,746,498,1119,,,
06/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",1061,640,1757,,,,4840,3405,6879,2112,1429,3120,2085,918,4730,928,575,1497
06/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2515,1447,4370,,,,3955,2698,5795,2117,1175,3814,1822,1232,2695,643,464,890
06/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2205,1378,3528,,,,3569,2673,4765,2146,1649,2792,1798,991,3264,826,587,1163
06/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","1000 General Del Pilar, Makati",2940,1899,4552,,,,4932,3990,6095,2683,1852,3887,2854,1752,4647,649,450,938
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
